Age,Data Source,Destination,Disability,Education Level,Grade,Immigration Status,Indicator,Origin,Reference Area,Residence,School Subject ,Sex,Socioeconomic Background,State or Province,Time Period,Type Of Institution,Unit Measure,Wealth Quintile,Obs Value
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Female,Total,,2014,Total,%,Total,10.20127
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,9.77934
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,7.82401
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,9.09457
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,8.23831
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,10.04913
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Male,Total,,2014,Total,%,Total,9.15489
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,8.1728
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,9.73517
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,9.952
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,11.7291
Total,UIS,Total,Total,Primary,Total,Total,4.1.4 Out-of-school rate (one year before official primary entry age),Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,10.37724
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,3.35084
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,2.85177
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,3.52613
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,3.16721
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,3.3304
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,3.53555
Total,UIS,Total,Total,Primary,Total,Total,4.1.5 Percentage of pupils who are at least 2 years over-age for their current grade,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,3.55905
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,101.87402
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,99.45544
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,99.67338
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,100.29991
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,101.36286
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,101.82144
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,101.25656
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,100.9813
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2005,Total,%,Total,101.3106
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,99.03338
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2014,Total,%,Total,99.50208
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,100.28726
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,101.27641
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,101.422
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,101.19637
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,101.34374
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2005,Total,%,Total,102.41138
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,99.85975
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2014,Total,%,Total,99.83744
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,100.31204
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,101.44578
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,102.20446
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,101.31424
Total,UIS,Total,Total,Primary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,100.63408
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2002,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2003,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2004,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2005,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2006,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2007,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2008,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2009,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2010,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2011,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2012,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2013,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2014,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2015,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2016,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2017,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2018,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2019,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2020,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2021,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2002,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2003,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2004,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2005,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2006,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2007,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2008,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2009,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2010,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2011,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2012,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2013,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2014,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2015,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2016,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2017,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2018,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2019,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2020,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Number of years of free primary and secondary education guaranteed in legal frameworks,Total,United States,Total,Total,Both sexes,Total,,2021,Total,Number,Total,12
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,99.43481
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,97.10193
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,97.97434
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,98.19414
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,99.64003
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,99.57562
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,99.42579
Total,UIS,Total,Total,Primary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,99.08343
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2005,Total,%,Total,95.94848
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,96.30906
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2014,Total,%,Total,97.51305
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,98.17358
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,98.47471
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,98.69556
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,98.79606
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,99.18945
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2005,Total,%,Total,94.20211
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,96.06963
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2014,Total,%,Total,96.36253
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,97.15372
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,99.05283
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,99.19852
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,99.73566
Total,UIS,Total,Total,Secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,100.90212
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,80.63483
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,88.72642
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,88.62687
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,88.88941
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,88.83505
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,88.16739
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,88.29918
Total,UIS,Total,Total,Tertiary,Total,Total,4.3.2 Gross enrolment ratio (tertiary),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,87.88871
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,90.11853338
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,91.55
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,92.98905088
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,93.70478058
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,94.27458191
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,92.11394964
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,93.01
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,94.30617959
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,94.85169983
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,95.22626495
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,88.20975569
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,90.14
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,91.74173761
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,92.61862946
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.2 Completion rate (admin data),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,93.36330414
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,8.56354
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,7.91728
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,6.79907
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,6.07613
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,4.72861
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,4.78814
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,3.59717
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,3.75075
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2005,Total,%,Total,6.79949
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,7.5424
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2014,Total,%,Total,6.27499
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,4.94821
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,4.78598
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,4.67297
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,3.44936
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,4.94948
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2005,Total,%,Total,10.23177
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,8.27429
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2014,Total,%,Total,7.29922
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,7.15423
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,4.67377
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,4.89834
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,3.7389
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate,Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,2.59924
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,3.518021866
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,3.247276241
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,8.238142967
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,8.322132111
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2010,Total,%,Total,3.196466842
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,3.173877148
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,7.617825508
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,7.470578194
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2010,Total,%,Total,3.819963978
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,3.317063336
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,8.825522423
Total,UIS,Total,Total,Upper secondary,Total,Total,4.1.4 Out-of-school rate (household survey data),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,9.122067452
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,89.09657
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,92.80168
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,93.99472
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,94.74373
